Series Name,Series Code,Country Name,Country Code,2000 [YR2000],2005 [YR2005],2010 [YR2010],2013 [YR2013],2015 [YR2015]
GDP per capita (current US$),NY.GDP.PCAP.CD,Croatia,HRV,4919.628069,10224.24059,13509.18582,13574.97804,11535.82936
GDP per capita (current US$),NY.GDP.PCAP.CD,Cuba,CUB,2749.463492,3786.875329,5688.666732,6789.849597,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Curacao,CUW,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Cyprus,CYP,14672.88206,25324.48666,30818.46396,27907.96736,23242.84007
GDP per capita (current US$),NY.GDP.PCAP.CD,Czech Republic,CZE,5994.528277,13317.72983,19763.9638,19916.01939,17548.33821
GDP per capita (current US$),NY.GDP.PCAP.CD,Denmark,DNK,30743.55917,48816.83586,57647.66876,60361.73877,51989.29347
GDP per capita (current US$),NY.GDP.PCAP.CD,Djibouti,DJI,762.8838243,910.3645074,1358.4605,1682.948665,1945.124293
GDP per capita (current US$),NY.GDP.PCAP.CD,Dominica,DMA,4819.900039,5250.352561,6938.952146,7061.27558,7116.386392
GDP per capita (current US$),NY.GDP.PCAP.CD,Dominican Republic,DOM,2802.419715,3681.060301,5451.068061,6026.989889,6468.473492
GDP per capita (current US$),NY.GDP.PCAP.CD,Ecuador,ECU,1451.290776,3021.942767,4657.301737,6074.181971,6205.064145
GDP per capita (current US$),NY.GDP.PCAP.CD,"Egypt, Arab Rep.",EGY,1461.018259,1196.733309,2668.035988,3264.450063,3614.746766
GDP per capita (current US$),NY.GDP.PCAP.CD,El Salvador,SLV,2259.888269,2874.257256,3547.070983,3998.739499,4219.35033
GDP per capita (current US$),NY.GDP.PCAP.CD,Equatorial Guinea,GNQ,1970.251229,13129.59818,22366.2939,27528.65799,14439.59445
GDP per capita (current US$),NY.GDP.PCAP.CD,Eritrea,ERI,199.8131951,262.0745298,451.4266933,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Estonia,EST,4070.031904,10338.31726,14639.4733,19029.77923,17118.5042
GDP per capita (current US$),NY.GDP.PCAP.CD,Ethiopia,ETH,124.0509505,161.8769539,341.8589562,503.9026066,619.1694065
GDP per capita (current US$),NY.GDP.PCAP.CD,Faroe Islands,FRO,22850.44296,35808.82986,47381.52276,54117.84441,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Fiji,FJI,2076.013308,3658.617477,3651.958291,4758.892782,4960.519954
GDP per capita (current US$),NY.GDP.PCAP.CD,Finland,FIN,24253.25042,38969.17163,46205.16601,49638.07713,42311.03623
GDP per capita (current US$),NY.GDP.PCAP.CD,France,FRA,22465.64184,34879.72633,40705.76623,42571.19799,36205.5681
GDP per capita (current US$),NY.GDP.PCAP.CD,French Polynesia,PYF,14530.22602,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Gabon,GAB,4115.036784,6865.323497,9312.049463,10658.77273,8266.445605
GDP per capita (current US$),NY.GDP.PCAP.CD,"Gambia, The",GMB,637.1055215,433.2915831,562.5681661,484.1126877,471.5371955
GDP per capita (current US$),NY.GDP.PCAP.CD,Georgia,GEO,691.9977101,1530.057521,2964.477048,4274.376873,3795.973308
GDP per capita (current US$),NY.GDP.PCAP.CD,Germany,DEU,23718.7467,34696.62092,41788.04479,45688.39307,41313.31399
GDP per capita (current US$),NY.GDP.PCAP.CD,Ghana,GHA,264.7025762,501.7240746,1323.099141,1827.101368,1369.701122
GDP per capita (current US$),NY.GDP.PCAP.CD,Gibraltar,GIB,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Greece,GRC,12042.95373,22551.73574,26919.36164,21874.8195,18002.23058
GDP per capita (current US$),NY.GDP.PCAP.CD,Greenland,GRL,19004.00345,28985.39087,40193.66603,42827.80827,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Grenada,GRD,5117.539563,6754.381175,7365.666659,7956.141842,9212.020352
GDP per capita (current US$),NY.GDP.PCAP.CD,Guam,GUM,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Guatemala,GTM,1650.22565,2064.047524,2805.973937,3432.017458,3903.478856
GDP per capita (current US$),NY.GDP.PCAP.CD,Guinea,GIN,340.414229,303.7609661,430.0564739,521.5389059,531.3205952
GDP per capita (current US$),NY.GDP.PCAP.CD,Guinea-Bissau,GNB,281.4036603,401.147289,517.8891758,584.2820032,572.9884285
GDP per capita (current US$),NY.GDP.PCAP.CD,Guyana,GUY,960.1867601,1110.957717,2998.941274,3928.87895,4127.351018
GDP per capita (current US$),NY.GDP.PCAP.CD,Haiti,HTI,462.4805442,465.3099364,662.2793812,810.3073259,818.3432976
GDP per capita (current US$),NY.GDP.PCAP.CD,Honduras,HND,1137.824518,1405.780927,2096.202949,2340.684866,2528.89355
GDP per capita (current US$),NY.GDP.PCAP.CD,"Hong Kong SAR, China",HKG,25756.66378,26649.7508,32549.99823,38352.53492,42327.83996
GDP per capita (current US$),NY.GDP.PCAP.CD,Hungary,HUN,4623.406712,11161.72441,13025.7948,13613.60147,12363.54346
GDP per capita (current US$),NY.GDP.PCAP.CD,Iceland,ISL,31737.47061,56445.53614,41620.06745,47493.24904,50173.33992
GDP per capita (current US$),NY.GDP.PCAP.CD,India,IND,452.4135847,729.000727,1345.721383,1456.201628,1598.259034
GDP per capita (current US$),NY.GDP.PCAP.CD,Indonesia,IDN,780.0920781,1263.481441,3125.219945,3631.672694,3346.487039
GDP per capita (current US$),NY.GDP.PCAP.CD,"Iran, Islamic Rep.",IRN,1664.26127,3135.187408,6299.918738,6631.29827,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Iraq,IRQ,..,1848.968201,4487.366289,6879.69779,4943.760388
GDP per capita (current US$),NY.GDP.PCAP.CD,Ireland,IRL,26241.91849,50886.82729,48541.47764,52034.76822,61133.67243
GDP per capita (current US$),NY.GDP.PCAP.CD,Isle of Man,IMY,20358.66729,36980.11308,64275.01244,78119.05987,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Israel,ISR,21052.10432,20611.17931,30661.99004,36393.66932,35728.0935
GDP per capita (current US$),NY.GDP.PCAP.CD,Italy,ITA,20051.2426,31959.26215,35851.50807,35370.27441,29957.80432
GDP per capita (current US$),NY.GDP.PCAP.CD,Jamaica,JAM,3448.448874,4238.315843,4902.672692,5259.042342,5232.024583
GDP per capita (current US$),NY.GDP.PCAP.CD,Japan,JPN,38532.04088,37217.64873,44507.66371,40488.2432,34523.70077
GDP per capita (current US$),NY.GDP.PCAP.CD,Jordan,JOR,1774.088393,2360.530244,4054.270668,4656.219807,4940.045836
GDP per capita (current US$),NY.GDP.PCAP.CD,Kazakhstan,KAZ,1229.000958,3771.278957,9070.649972,13890.85601,10509.98107
GDP per capita (current US$),NY.GDP.PCAP.CD,Kenya,KEN,408.9818683,530.0821579,991.8505451,1261.092863,1376.712829
GDP per capita (current US$),NY.GDP.PCAP.CD,Kiribati,KIR,796.7937634,1214.504048,1493.218696,1724.21876,1424.280879
GDP per capita (current US$),NY.GDP.PCAP.CD,"Korea, Dem. People’s Rep.",PRK,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,"Korea, Rep.",KOR,11947.57725,18657.52125,22151.20889,25997.88105,27221.52405
GDP per capita (current US$),NY.GDP.PCAP.CD,Kosovo,KSV,1087.762401,2190.552079,3283.211938,3890.300665,3561.574731
GDP per capita (current US$),NY.GDP.PCAP.CD,Kuwait,KWT,19545.19345,35694.38171,37725.14121,48463.15167,29300.57558
GDP per capita (current US$),NY.GDP.PCAP.CD,Kyrgyz Republic,KGZ,279.6205233,476.55213,880.0377751,1282.437162,1103.215352
GDP per capita (current US$),NY.GDP.PCAP.CD,Lao PDR,LAO,324.0196947,476.1624042,1138.526082,1700.525305,1818.441373
GDP per capita (current US$),NY.GDP.PCAP.CD,Latvia,LVA,3352.731296,7558.742006,11329.89512,15033.15295,13648.54756
GDP per capita (current US$),NY.GDP.PCAP.CD,Lebanon,LBN,5334.880244,5339.42388,8763.795964,8388.973293,8047.645086
GDP per capita (current US$),NY.GDP.PCAP.CD,Lesotho,LSO,478.0106195,873.5655336,1189.776151,1199.874106,1066.985626
GDP per capita (current US$),NY.GDP.PCAP.CD,Liberia,LBR,182.9427573,168.2067267,326.6044381,453.339457,455.8739345
GDP per capita (current US$),NY.GDP.PCAP.CD,Libya,LBY,7170.379234,8158.889554,11933.77926,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Liechtenstein,LIE,74633.52872,104994.0183,140102.7257,172563.0641,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Lithuania,LTU,3297.354701,7863.162009,11988.75797,15692.01291,14147.04938
GDP per capita (current US$),NY.GDP.PCAP.CD,Luxembourg,LUX,48317.66626,79494.20627,103267.2765,113726.639,101449.9682
GDP per capita (current US$),NY.GDP.PCAP.CD,"Macao SAR, China",MAC,14127.56667,25829.991,52604.32713,90746.10886,78585.87706
GDP per capita (current US$),NY.GDP.PCAP.CD,"Macedonia, FYR",MKD,1875.127132,3063.595426,4561.177546,5219.535681,4852.657848
GDP per capita (current US$),NY.GDP.PCAP.CD,Madagascar,MDG,246.2826349,275.5158271,414.1427872,462.4600105,401.836006
GDP per capita (current US$),NY.GDP.PCAP.CD,Malawi,MWI,155.7643582,286.7851511,471.0587532,335.5235807,371.9857478
GDP per capita (current US$),NY.GDP.PCAP.CD,Malaysia,MYS,4004.557191,5564.173231,9069.030717,10971.41558,9768.32686
GDP per capita (current US$),NY.GDP.PCAP.CD,Maldives,MDV,2182.997011,3488.493769,6330.79498,7112.33575,8395.785198
GDP per capita (current US$),NY.GDP.PCAP.CD,Mali,MLI,267.4164347,484.8106143,704.0646209,772.2501095,724.2562832
GDP per capita (current US$),NY.GDP.PCAP.CD,Malta,MLT,11291.58423,15835.34667,21087.79469,24056.61245,22596.18177
GDP per capita (current US$),NY.GDP.PCAP.CD,Marshall Islands,MHL,2126.832308,2645.981405,3142.429476,3618.231253,3385.967463
GDP per capita (current US$),NY.GDP.PCAP.CD,Mauritania,MRT,477.1129881,692.5759654,1207.827458,1457.836387,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Mauritius,MUS,3861.032414,5116.045424,8000.376432,9637.00265,9252.110724
GDP per capita (current US$),NY.GDP.PCAP.CD,Mexico,MEX,6649.716383,7893.962197,8861.49372,10198.6473,9005.024265
GDP per capita (current US$),NY.GDP.PCAP.CD,"Micronesia, Fed. Sts.",FSM,2170.960626,2352.639409,2838.448547,3044.077209,3015.231668
GDP per capita (current US$),NY.GDP.PCAP.CD,Moldova,MDA,354.0037319,831.2052862,1631.535832,2243.979662,1848.061804
GDP per capita (current US$),NY.GDP.PCAP.CD,Monaco,MCO,82537.44647,126599.4033,145221.1916,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Mongolia,MNG,474.2129405,998.8222718,2650.34682,4400.614515,3967.829386
GDP per capita (current US$),NY.GDP.PCAP.CD,Montenegro,MNE,1627.042893,3674.52653,6681.927148,7186.813592,6406.070855
GDP per capita (current US$),NY.GDP.PCAP.CD,Morocco,MAR,1328.172963,2023.252997,2857.673414,3141.725373,2878.201342
GDP per capita (current US$),NY.GDP.PCAP.CD,Mozambique,MOZ,274.6562556,365.5968499,417.5012315,605.2344447,529.2425561
GDP per capita (current US$),NY.GDP.PCAP.CD,Myanmar,MMR,186.8073255,239.8128119,957.6247442,1134.928443,1161.488158
GDP per capita (current US$),NY.GDP.PCAP.CD,Namibia,NAM,2059.409015,3582.25982,5143.130676,5417.800314,4673.567248
GDP per capita (current US$),NY.GDP.PCAP.CD,Nauru,NRU,..,..,4912.600857,10726.07872,9827.544281
GDP per capita (current US$),NY.GDP.PCAP.CD,Nepal,NPL,231.4329676,318.7480617,595.4275198,696.732684,743.3229657
GDP per capita (current US$),NY.GDP.PCAP.CD,Netherlands,NLD,25921.12794,41577.16009,50341.25192,51574.48942,44299.76809
GDP per capita (current US$),NY.GDP.PCAP.CD,New Caledonia,NCL,12579.59511,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,New Zealand,NZL,13641.10272,27750.89515,33692.1696,42928.09633,37807.96728
GDP per capita (current US$),NY.GDP.PCAP.CD,Nicaragua,NIC,1016.021552,1175.116443,1523.481469,1829.024989,2086.895003
GDP per capita (current US$),NY.GDP.PCAP.CD,Niger,NER,160.2183423,252.5046155,351.0062183,417.6703093,358.958152
GDP per capita (current US$),NY.GDP.PCAP.CD,Nigeria,NGA,377.5002693,804.0059952,2314.963537,2979.84415,2640.290739
GDP per capita (current US$),NY.GDP.PCAP.CD,Northern Mariana Islands,MNP,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Norway,NOR,38146.71539,66775.3944,87646.2701,102910.435,74400.36978
GDP per capita (current US$),NY.GDP.PCAP.CD,Oman,OMN,8710.987805,12398.59435,19920.64957,20204.92954,15550.67625
GDP per capita (current US$),NY.GDP.PCAP.CD,Pakistan,PAK,534.915837,714.03681,1043.300205,1276.092448,1434.696665
GDP per capita (current US$),NY.GDP.PCAP.CD,Palau,PLW,7786.586002,9710.152208,8978.993649,10932.64496,13498.66141
GDP per capita (current US$),NY.GDP.PCAP.CD,Panama,PAN,4062.438603,4933.084985,7987.060372,11786.63317,13268.11375
GDP per capita (current US$),NY.GDP.PCAP.CD,Papua New Guinea,PNG,655.2502302,799.4164059,1418.923591,2108.831643,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Paraguay,PRY,1545.625548,1507.145951,3225.591754,4479.955052,4080.951448
GDP per capita (current US$),NY.GDP.PCAP.CD,Peru,PER,1996.719997,2754.780428,5021.249374,6580.979053,6027.125855
GDP per capita (current US$),NY.GDP.PCAP.CD,Philippines,PHL,1039.701796,1196.539849,2145.240007,2786.014701,2904.202082
GDP per capita (current US$),NY.GDP.PCAP.CD,Poland,POL,4492.727604,8021.251569,12599.52486,13780.54911,12554.54755
GDP per capita (current US$),NY.GDP.PCAP.CD,Portugal,PRT,11502.39681,18784.9485,22539.99601,21618.73534,19222.15008
GDP per capita (current US$),NY.GDP.PCAP.CD,Puerto Rico,PRI,16192.1296,21959.32271,26435.73308,28703.73237,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Qatar,QAT,29926.36335,53207.33365,70870.22658,94574.25505,73653.39443
GDP per capita (current US$),NY.GDP.PCAP.CD,Romania,ROM,1668.162731,4676.315183,8297.483621,9585.266593,8972.922518
GDP per capita (current US$),NY.GDP.PCAP.CD,Russian Federation,RUS,1771.586602,5323.473877,10674.98771,15552.05099,9092.580536
GDP per capita (current US$),NY.GDP.PCAP.CD,Rwanda,RWA,216.2759036,286.5674904,553.5974576,678.9981669,697.3482281
GDP per capita (current US$),NY.GDP.PCAP.CD,Samoa,WSM,1540.65373,2587.524,3530.573994,4179.597681,3938.548846
GDP per capita (current US$),NY.GDP.PCAP.CD,San Marino,SMR,28224.20286,47035.65435,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Sao Tome and Principe,STP,..,824.0121598,1155.512951,1660.903193,1669.063268
GDP per capita (current US$),NY.GDP.PCAP.CD,Saudi Arabia,SAU,8808.875367,13273.6535,18753.98123,24646.02087,20481.74532
GDP per capita (current US$),NY.GDP.PCAP.CD,Senegal,SEN,474.5771245,772.6524454,996.7074883,1041.167179,899.5798795
GDP per capita (current US$),NY.GDP.PCAP.CD,Serbia,SRB,870.1365252,3528.131008,5411.877404,6353.826383,5235.142207
GDP per capita (current US$),NY.GDP.PCAP.CD,Seychelles,SYC,7578.851053,11086.89089,10804.68447,15695.89834,15476.01944
GDP per capita (current US$),NY.GDP.PCAP.CD,Sierra Leone,SLE,156.5918666,320.9953668,453.0220407,796.3190607,653.1318159
GDP per capita (current US$),NY.GDP.PCAP.CD,Singapore,SGP,23792.60707,29869.85398,46569.67951,55617.6125,52888.74467
GDP per capita (current US$),NY.GDP.PCAP.CD,Sint Maarten (Dutch part),SXM,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Slovak Republic,SVK,5402.929754,11669.41975,16601.60197,18191.61279,16088.27759
GDP per capita (current US$),NY.GDP.PCAP.CD,Slovenia,SVN,10227.73677,18169.18091,23438.86747,23150.31799,20726.53989
GDP per capita (current US$),NY.GDP.PCAP.CD,Solomon Islands,SLB,1055.216749,881.9616184,1276.348725,1890.000903,1934.856293
GDP per capita (current US$),NY.GDP.PCAP.CD,Somalia,SOM,..,..,..,521.2230393,549.2669766
GDP per capita (current US$),NY.GDP.PCAP.CD,South Africa,ZAF,3099.131614,5453.192782,7392.867774,6910.665338,5723.973357
GDP per capita (current US$),NY.GDP.PCAP.CD,South Sudan,SSD,..,..,1563.904195,1157.486958,730.5801009
GDP per capita (current US$),NY.GDP.PCAP.CD,Spain,ESP,14787.75606,26510.71745,30737.83227,29370.66387,25831.58231
GDP per capita (current US$),NY.GDP.PCAP.CD,Sri Lanka,LKA,875.412178,1259.807591,2819.651309,3611.341987,3926.174396
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Kitts and Nevis,KNA,9223.756223,11053.74474,13466.82783,14514.72144,15771.9455
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Lucia,LCA,4975.472098,5723.344818,7000.641583,7229.928884,7735.910484
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Martin (French part),MAF,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,St. Vincent and the Grenadines,VCT,3672.669305,5064.218215,6231.713226,6596.788974,6739.174833
GDP per capita (current US$),NY.GDP.PCAP.CD,Sudan,SDN,352.5015707,661.6262771,1421.532942,1871.108979,2414.723601
GDP per capita (current US$),NY.GDP.PCAP.CD,Suriname,SUR,1855.77231,3645.850509,8430.905965,9618.350531,9485.319244
GDP per capita (current US$),NY.GDP.PCAP.CD,Swaziland,SWZ,1602.93246,2812.588785,3793.659464,3686.879283,3200.143018
GDP per capita (current US$),NY.GDP.PCAP.CD,Sweden,SWE,29283.00505,43085.35315,52076.43052,60283.24522,50579.67365
GDP per capita (current US$),NY.GDP.PCAP.CD,Switzerland,CHE,37813.23426,54797.54663,74277.12051,84658.88768,80945.07922
GDP per capita (current US$),NY.GDP.PCAP.CD,Syrian Arab Republic,SYR,1181.719202,1591.530192,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Tajikistan,TJK,139.1091434,339.7644428,744.1842273,1048.666906,925.9118877
GDP per capita (current US$),NY.GDP.PCAP.CD,Tanzania,TZA,308.4062816,446.157894,708.5219323,909.3301412,878.9751055
GDP per capita (current US$),NY.GDP.PCAP.CD,Thailand,THA,2016.041015,2874.386274,5111.909202,6225.052283,5814.769764
GDP per capita (current US$),NY.GDP.PCAP.CD,Timor-Leste,TMP,434.37974,501.4292265,884.2761079,1111.799395,1157.992956
GDP per capita (current US$),NY.GDP.PCAP.CD,Togo,TGO,265.5016597,379.1809289,496.4824942,588.9875461,559.6358767
GDP per capita (current US$),NY.GDP.PCAP.CD,Tonga,TON,2067.085049,2599.457988,3554.075455,4274.226824,4098.543929
GDP per capita (current US$),NY.GDP.PCAP.CD,Trinidad and Tobago,TTO,6430.967549,12323.13656,16684.0086,19607.94918,17321.88468
GDP per capita (current US$),NY.GDP.PCAP.CD,Tunisia,TUN,2247.912995,3217.968646,4176.59159,4248.891276,3872.512084
GDP per capita (current US$),NY.GDP.PCAP.CD,Turkey,TUR,4215.162413,7117.233241,10111.19251,10800.54235,9125.68759
GDP per capita (current US$),NY.GDP.PCAP.CD,Turkmenistan,TKM,645.2771015,1706.956726,4479.012354,7480.321678,6672.477544
GDP per capita (current US$),NY.GDP.PCAP.CD,Turks and Caicos Islands,TCA,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Tuvalu,TUV,1458.971977,2252.847008,3238.375763,3880.352322,3295.005823
GDP per capita (current US$),NY.GDP.PCAP.CD,Uganda,UGA,260.6844737,321.4357614,608.954866,683.3431532,705.2925695
GDP per capita (current US$),NY.GDP.PCAP.CD,Ukraine,UKR,635.7128467,1828.717626,2965.142365,4029.715504,2114.954716
GDP per capita (current US$),NY.GDP.PCAP.CD,United Arab Emirates,ARE,34207.53895,40298.52422,34341.91129,42986.66461,40438.76293
GDP per capita (current US$),NY.GDP.PCAP.CD,United Kingdom,GBR,27769.93125,41524.06554,38708.67629,42407.37101,43875.96961
GDP per capita (current US$),NY.GDP.PCAP.CD,United States,USA,36449.85512,44307.92058,48374.08679,52749.91124,56115.71843
GDP per capita (current US$),NY.GDP.PCAP.CD,Uruguay,URY,6871.903885,5220.957396,11938.27505,16881.384,15573.90092
GDP per capita (current US$),NY.GDP.PCAP.CD,Uzbekistan,UZB,558.221144,546.7768502,1377.08214,1907.551233,2132.070368
GDP per capita (current US$),NY.GDP.PCAP.CD,Vanuatu,VUT,1469.888862,1886.38831,2965.75223,3167.055303,2805.314644
GDP per capita (current US$),NY.GDP.PCAP.CD,"Venezuela, RB",VEN,4784.87158,5435.742203,13581.35338,12265.03114,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Vietnam,VNM,433.3337078,699.4997775,1333.583524,1907.564382,2111.138024
GDP per capita (current US$),NY.GDP.PCAP.CD,Virgin Islands (U.S.),VIR,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,West Bank and Gaza,WBG,1476.171852,1455.187878,2338.719877,2992.200995,2866.8001
GDP per capita (current US$),NY.GDP.PCAP.CD,"Yemen, Rep.",YEM,541.5129915,817.0822744,1310.053671,1582.849252,1406.291651
