Country Name,Year,Total Population
Botswana,2005,1864003
Brazil,2005,188479240
British Virgin Islands,2005,23169
Brunei Darussalam,2005,361889
Bulgaria,2005,7739900
Burkina Faso,2005,13421929
Burundi,2005,7934213
Cabo Verde,2005,474224
Cambodia,2005,13320058
Cameroon,2005,18126999
Canada,2005,32312000
Cayman Islands,2005,48623
Central African Republic,2005,4055608
Chad,2005,10067932
Channel Islands,2005,154298
Chile,2005,16096571
China,2005,1303720000
Colombia,2005,43285636
Comoros,2005,618632
"Congo, Dem. Rep.",2005,56089536
"Congo, Rep.",2005,3503086
Costa Rica,2005,4247843
Cote d'Ivoire,2005,18132702
Croatia,2005,4442000
Cuba,2005,11261052
Curacao,2005,137658
Cyprus,2005,1032586
Czech Republic,2005,10211216
Denmark,2005,5419432
Djibouti,2005,778406
Dominica,2005,70542
Dominican Republic,2005,9237565
Ecuador,2005,13735232
"Egypt, Arab Rep.",2005,74942115
El Salvador,2005,5947206
Equatorial Guinea,2005,625866
Eritrea,2005,4191273
Estonia,2005,1354775
Ethiopia,2005,76608431
Faroe Islands,2005,48337
Fiji,2005,821820
Finland,2005,5246096
France,2005,63179356
French Polynesia,2005,254884
Gabon,2005,1377777
"Gambia, The",2005,1440542
Georgia,2005,4190000
Germany,2005,82469422
Ghana,2005,21389514
Gibraltar,2005,29080
Greece,2005,10987314
Greenland,2005,56935
Grenada,2005,102951
Guam,2005,158401
Guatemala,2005,13183505
Guinea,2005,9669023
Guinea-Bissau,2005,1462784
Guyana,2005,742495
Haiti,2005,9263409
Honduras,2005,6880181
"Hong Kong SAR, China",2005,6813200
Hungary,2005,10087065
Iceland,2005,296734
India,2005,1144326293
Indonesia,2005,226254703
"Iran, Islamic Rep.",2005,70122115
Iraq,2005,27017712
Ireland,2005,4159914
Isle of Man,2005,80345
Israel,2005,6930100
Italy,2005,57969484
Jamaica,2005,2643601
Japan,2005,127773000
Jordan,2005,5332982
Kazakhstan,2005,15147029
Kenya,2005,35349040
Kiribati,2005,92329
"Korea, Dem. People’s Rep.",2005,23813324
"Korea, Rep.",2005,48138077
Kosovo,2005,1705780
Kuwait,2005,2263604
Kyrgyz Republic,2005,5162600
Lao PDR,2005,5745012
Latvia,2005,2238799
Lebanon,2005,3986865
Lesotho,2005,1925844
Liberia,2005,3269786
Libya,2005,5801543
Liechtenstein,2005,34852
Lithuania,2005,3322528
Luxembourg,2005,465158
"Macao SAR, China",2005,468149
"Macedonia, FYR",2005,2042894
Madagascar,2005,18290394
Malawi,2005,12747846
Malaysia,2005,25796124
Maldives,2005,321000
Mali,2005,12881384
Malta,2005,403834
Marshall Islands,2005,52058
Mauritania,2005,3154087
Mauritius,2005,1228254
Mexico,2005,109747906
"Micronesia, Fed. Sts.",2005,106198
Moldova,2005,3595187
Monaco,2005,33808
Mongolia,2005,2526447
Montenegro,2005,614261
Morocco,2005,30385479
Mozambique,2005,21126676
Myanmar,2005,49984704
Namibia,2005,2027026
Nauru,2005,10115
Nepal,2005,25506847
Netherlands,2005,16319868
New Caledonia,2005,231000
New Zealand,2005,4133900
Nicaragua,2005,5379327
Niger,2005,13485436
Nigeria,2005,139611303
Northern Mariana Islands,2005,64372
Norway,2005,4623291
Oman,2005,2506891
Pakistan,2005,153356383
Palau,2005,19907
Panama,2005,3319301
Papua New Guinea,2005,6086905
Paraguay,2005,5795493
Peru,2005,27610406
Philippines,2005,86141373
Poland,2005,38165445
Portugal,2005,10503330
Puerto Rico,2005,3821362
Qatar,2005,836924
Romania,2005,21319685
Russian Federation,2005,143518523
Rwanda,2005,9008230
Samoa,2005,179928
San Marino,2005,29242
Sao Tome and Principe,2005,153146
Saudi Arabia,2005,24745230
Senegal,2005,11268994
Serbia,2005,7440769
Seychelles,2005,82900
Sierra Leone,2005,5071271
Singapore,2005,4265762
Sint Maarten (Dutch part),2005,36934
Slovak Republic,2005,5372807
Slovenia,2005,2000474
Solomon Islands,2005,469306
Somalia,2005,8466938
South Africa,2005,47270063
South Sudan,2005,8099908
Spain,2005,43653155
Sri Lanka,2005,19373000
St. Kitts and Nevis,2005,49139
St. Lucia,2005,165407
St. Martin (French part),2005,27906
St. Vincent and the Grenadines,2005,108749
Sudan,2005,31990003
Suriname,2005,491999
Swaziland,2005,1104642
Sweden,2005,9029572
Switzerland,2005,7437115
Syrian Arab Republic,2005,18132842
Tajikistan,2005,6805655
Tanzania,2005,39065600
Thailand,2005,65863973
Timor-Leste,2005,979201
Togo,2005,5578219
Tonga,2005,100858
Trinidad and Tobago,2005,1296933
Tunisia,2005,10029000
Turkey,2005,67860617
Turkmenistan,2005,4747839
Turks and Caicos Islands,2005,26450
Tuvalu,2005,9694
Uganda,2005,28042413
Ukraine,2005,47105150
United Arab Emirates,2005,4481976
United Kingdom,2005,60401206
United States,2005,295516599
Uruguay,2005,3325608
Uzbekistan,2005,26167000
Vanuatu,2005,209375
"Venezuela, RB",2005,26769115
Vietnam,2005,82392100
Virgin Islands (U.S.),2005,107863
West Bank and Gaza,2005,3320396
"Yemen, Rep.",2005,20504385
Zambia,2005,12043591
Zimbabwe,2005,12984418
Afghanistan,2010,27962207
Albania,2010,2913021
Algeria,2010,36036159
American Samoa,2010,55636
Andorra,2010,84419
Angola,2010,21219954
Antigua and Barbuda,2010,87233
Argentina,2010,41222875
Armenia,2010,2963496
Aruba,2010,101597
Australia,2010,22031750
Austria,2010,8363404
Azerbaijan,2010,9054332
"Bahamas, The",2010,360830
Bahrain,2010,1261319
Bangladesh,2010,151616777
Barbados,2010,279566
Belarus,2010,9490000
Belgium,2010,10895586
Belize,2010,321609
Benin,2010,9509798
Bermuda,2010,65124
Bhutan,2010,720246
Bolivia,2010,9918245
Bosnia and Herzegovina,2010,3835258
Botswana,2010,2047831
Brazil,2010,198614208
British Virgin Islands,2010,27223
Brunei Darussalam,2010,393302
Bulgaria,2010,7395599
Burkina Faso,2010,15632066
Burundi,2010,9461117
Cabo Verde,2010,490379
Cambodia,2010,14363586
Cameroon,2010,20590666
Canada,2010,34005274
Cayman Islands,2010,55509
Central African Republic,2010,4444973
Chad,2010,11896380
Channel Islands,2010,159583
Chile,2010,17015048
China,2010,1337705000
Colombia,2010,45918101
Comoros,2010,698695
"Congo, Dem. Rep.",2010,65938712
"Congo, Rep.",2010,4066078
Costa Rica,2010,4545273
Cote d'Ivoire,2010,20131707
Croatia,2010,4417781
Cuba,2010,11308133
Curacao,2010,148703
Cyprus,2010,1103685
Czech Republic,2010,10474410
Denmark,2010,5547683
Djibouti,2010,830802
Dominica,2010,71167
Dominican Republic,2010,9897983
Ecuador,2010,14934692
"Egypt, Arab Rep.",2010,82040994
El Salvador,2010,6038306
Equatorial Guinea,2010,728710
Eritrea,2010,4689664
Estonia,2010,1331475
Ethiopia,2010,87561814
Faroe Islands,2010,48567
Fiji,2010,859952
Finland,2010,5363352
France,2010,65027512
French Polynesia,2010,268065
Gabon,2010,1541936
"Gambia, The",2010,1693002
Georgia,2010,3926000
Germany,2010,81776930
Ghana,2010,24317734
Gibraltar,2010,30732
Greece,2010,11121341
Greenland,2010,56905
Grenada,2010,104677
Guam,2010,159440
Guatemala,2010,14732261
Guinea,2010,11012406
Guinea-Bissau,2010,1634196
Guyana,2010,753362
Haiti,2010,9999617
Honduras,2010,7503875
"Hong Kong SAR, China",2010,7024200
Hungary,2010,10000023
Iceland,2010,318041
India,2010,1230984504
Indonesia,2010,241613126
"Iran, Islamic Rep.",2010,74253373
Iraq,2010,30868156
Ireland,2010,4560155
Isle of Man,2010,84327
Israel,2010,7623600
Italy,2010,59277417
Jamaica,2010,2690824
Japan,2010,128070000
Jordan,2010,6517912
Kazakhstan,2010,16321581
Kenya,2010,40328313
Kiribati,2010,102648
"Korea, Dem. People’s Rep.",2010,24500506
"Korea, Rep.",2010,49410366
Kosovo,2010,1775680
Kuwait,2010,3059473
Kyrgyz Republic,2010,5447900
Lao PDR,2010,6260544
Latvia,2010,2097555
Lebanon,2010,4337156
Lesotho,2010,2010586
Liberia,2010,3957990
Libya,2010,6265697
Liechtenstein,2010,36276
Lithuania,2010,3097282
Luxembourg,2010,506953
"Macao SAR, China",2010,534626
"Macedonia, FYR",2010,2062443
Madagascar,2010,21079532
Malawi,2010,14769824
Malaysia,2010,28119500
Maldives,2010,367000
Mali,2010,15167286
Malta,2010,414508
Marshall Islands,2010,52428
Mauritania,2010,3591400
Mauritius,2010,1250400
Mexico,2010,118617542
"Micronesia, Fed. Sts.",2010,103619
Moldova,2010,3562045
Monaco,2010,36845
Mongolia,2010,2712657
Montenegro,2010,619428
Morocco,2010,32107739
Mozambique,2010,24321457
Myanmar,2010,51733013
Namibia,2010,2193643
Nauru,2010,10025
Nepal,2010,26875910
Netherlands,2010,16615394
New Caledonia,2010,250000
New Zealand,2010,4350700
Nicaragua,2010,5737722
Niger,2010,16291990
Nigeria,2010,159424742
Northern Mariana Islands,2010,53860
Norway,2010,4889252
Oman,2010,2943747
Pakistan,2010,170043918
Palau,2010,20470
Panama,2010,3620506
Papua New Guinea,2010,6847517
Paraguay,2010,6209877
Peru,2010,29373644
Philippines,2010,93038902
Poland,2010,38042794
Portugal,2010,10573100
Puerto Rico,2010,3721526
Qatar,2010,1765513
Romania,2010,20246871
Russian Federation,2010,142849449
Rwanda,2010,10293669
Samoa,2010,186029
San Marino,2010,30690
Sao Tome and Principe,2010,170880
Saudi Arabia,2010,28090647
Senegal,2010,12956791
Serbia,2010,7291436
Seychelles,2010,89770
Sierra Leone,2010,5775902
Singapore,2010,5076732
Sint Maarten (Dutch part),2010,35474
Slovak Republic,2010,5391428
Slovenia,2010,2048583
Solomon Islands,2010,526177
Somalia,2010,9581714
South Africa,2010,50771826
South Sudan,2010,10056475
Spain,2010,46576897
Sri Lanka,2010,20118000
St. Kitts and Nevis,2010,52352
St. Lucia,2010,177397
St. Martin (French part),2010,30235
St. Vincent and the Grenadines,2010,109316
Sudan,2010,36114885
Suriname,2010,518141
Swaziland,2010,1193148
Sweden,2010,9378126
Switzerland,2010,7824909
Syrian Arab Republic,2010,20720602
Tajikistan,2010,7581696
Tanzania,2010,45648525
Thailand,2010,66692024
Timor-Leste,2010,1066409
Togo,2010,6390851
Tonga,2010,103947
Trinidad and Tobago,2010,1328095
Tunisia,2010,10547100
Turkey,2010,72310416
Turkmenistan,2010,5041995
Turks and Caicos Islands,2010,30993
Tuvalu,2010,9827
Uganda,2010,33149417
Ukraine,2010,45870700
United Arab Emirates,2010,8329453
United Kingdom,2010,62766365
United States,2010,309346863
Uruguay,2010,3374414
Uzbekistan,2010,28562400
Vanuatu,2010,236299
"Venezuela, RB",2010,28995745
Vietnam,2010,86932500
Virgin Islands (U.S.),2010,106267
West Bank and Gaza,2010,3811102
"Yemen, Rep.",2010,23591972
Zambia,2010,13917439
Zimbabwe,2010,13973897
Afghanistan,2013,30682500
Albania,2013,2896652
Algeria,2013,38186135
American Samoa,2013,55302
Andorra,2013,75902
Angola,2013,23448202
Antigua and Barbuda,2013,89985
Argentina,2013,42538304
Armenia,2013,2992192
Aruba,2013,102921
Australia,2013,23117353
Austria,2013,8479375
Azerbaijan,2013,9416801
"Bahamas, The",2013,377841
Bahrain,2013,1349427
Bangladesh,2013,157157394
Barbados,2013,282503
Belarus,2013,9466000
Belgium,2013,11182817
Belize,2013,344193
Benin,2013,10322232
Bermuda,2013,65001
Bhutan,2013,754637
Bolivia,2013,10399931
Bosnia and Herzegovina,2013,3823533
Botswana,2013,2176510
Brazil,2013,204259377
British Virgin Islands,2013,29058
Brunei Darussalam,2013,411499
Bulgaria,2013,7265115
Burkina Faso,2013,17084554
Burundi,2013,10465959
Cabo Verde,2013,507258
Cambodia,2013,15078564
Cameroon,2013,22211166
Canada,2013,35155499
Cayman Islands,2013,58369
Central African Republic,2013,4710678
Chad,2013,13145788
Channel Islands,2013,162138
Chile,2013,17575833
China,2013,1357380000
Colombia,2013,47342363
Comoros,2013,751697
"Congo, Dem. Rep.",2013,72552861
"Congo, Rep.",2013,4394334
Costa Rica,2013,4706433
Cote d'Ivoire,2013,21622490
Croatia,2013,4255689
Cuba,2013,11362505
Curacao,2013,153822
Cyprus,2013,1141652
Czech Republic,2013,10514272
Denmark,2013,5614932
Djibouti,2013,864554
Dominica,2013,72005
Dominican Republic,2013,10281408
Ecuador,2013,15661312
"Egypt, Arab Rep.",2013,87613909
El Salvador,2013,6089644
Equatorial Guinea,2013,797082
Eritrea,2013,..
Estonia,2013,1317997
Ethiopia,2013,94558374
Faroe Islands,2013,48292
Fiji,2013,880487
Finland,2013,5438972
France,2013,65972097
French Polynesia,2013,276766
Gabon,2013,1650351
"Gambia, The",2013,1866878
Georgia,2013,3776000
Germany,2013,82132753
Ghana,2013,26164432
Gibraltar,2013,31720
Greece,2013,10965211
Greenland,2013,56483
Grenada,2013,105902
Guam,2013,165121
Guatemala,2013,15690793
Guinea,2013,11948726
Guinea-Bissau,2013,1757138
Guyana,2013,761033
Haiti,2013,10431249
Honduras,2013,7849059
"Hong Kong SAR, China",2013,7187500
Hungary,2013,9893082
Iceland,2013,323764
India,2013,1279498874
Indonesia,2013,251268276
"Iran, Islamic Rep.",2013,77152445
Iraq,2013,34107366
Ireland,2013,4598294
Isle of Man,2013,86462
Israel,2013,8059500
Italy,2013,60233948
Jamaica,2013,2714669
Japan,2013,127338621
Jordan,2013,7214832
Kazakhstan,2013,17035275
Kenya,2013,43692881
Kiribati,2013,108544
"Korea, Dem. People’s Rep.",2013,24895705
"Korea, Rep.",2013,50219669
Kosovo,2013,1818117
Kuwait,2013,3593689
Kyrgyz Republic,2013,5719600
Lao PDR,2013,6579985
Latvia,2013,2012647
Lebanon,2013,5286990
Lesotho,2013,2083061
Liberia,2013,4293692
Libya,2013,6265987
Liechtenstein,2013,37040
Lithuania,2013,2957689
Luxembourg,2013,543360
"Macao SAR, China",2013,568056
"Macedonia, FYR",2013,2072543
Madagascar,2013,22924557
Malawi,2013,16190126
Malaysia,2013,29465372
Maldives,2013,393000
Mali,2013,16592097
Malta,2013,423374
Marshall Islands,2013,52786
Mauritania,2013,3872684
Mauritius,2013,1258653
Mexico,2013,123740109
"Micronesia, Fed. Sts.",2013,103718
Moldova,2013,3558566
Monaco,2013,37528
Mongolia,2013,2859174
Montenegro,2013,621207
Morocco,2013,33452686
Mozambique,2013,26467180
Myanmar,2013,52983829
Namibia,2013,2346592
Nauru,2013,10125
Nepal,2013,27834981
Netherlands,2013,16804432
New Caledonia,2013,263000
New Zealand,2013,4442100
Nicaragua,2013,5945646
Niger,2013,18358863
Nigeria,2013,172816517
Northern Mariana Islands,2013,53869
Norway,2013,5079623
Oman,2013,3906912
Pakistan,2013,181192646
Palau,2013,20919
Panama,2013,3805683
Papua New Guinea,2013,7308864
Paraguay,2013,6465669
Peru,2013,30565461
Philippines,2013,97571676
Poland,2013,38040196
Portugal,2013,10457295
Puerto Rico,2013,3593079
Qatar,2013,2101288
Romania,2013,19983693
Russian Federation,2013,143506911
Rwanda,2013,11078095
Samoa,2013,190390
San Marino,2013,31391
Sao Tome and Principe,2013,182386
Saudi Arabia,2013,30201051
Senegal,2013,14221041
Serbia,2013,7164132
Seychelles,2013,89900
Sierra Leone,2013,6178859
Singapore,2013,5399162
Sint Maarten (Dutch part),2013,36607
Slovak Republic,2013,5413393
Slovenia,2013,2059953
Solomon Islands,2013,560685
Somalia,2013,10268157
South Africa,2013,53192216
South Sudan,2013,11453810
Spain,2013,46620045
Sri Lanka,2013,20579000
St. Kitts and Nevis,2013,54301
St. Lucia,2013,182305
St. Martin (French part),2013,31264
St. Vincent and the Grenadines,2013,109327
Sudan,2013,38515095
Suriname,2013,533450
Swaziland,2013,1250641
Sweden,2013,9600379
Switzerland,2013,8089346
Syrian Arab Republic,2013,19322593
Tajikistan,2013,8111894
Tanzania,2013,50213457
Thailand,2013,67451422
Timor-Leste,2013,1180069
Togo,2013,6928719
Tonga,2013,105139
Trinidad and Tobago,2013,1348240
Tunisia,2013,10886500
Turkey,2013,76223639
Turkmenistan,2013,5240088
Turks and Caicos Islands,2013,33103
Tuvalu,2013,9876
Uganda,2013,36573387
Ukraine,2013,45489600
United Arab Emirates,2013,9039978
United Kingdom,2013,64128226
United States,2013,316427395
Uruguay,2013,3407969
Uzbekistan,2013,30243200
Vanuatu,2013,253165
"Venezuela, RB",2013,30276045
Vietnam,2013,89759500
Virgin Islands (U.S.),2013,104737
West Bank and Gaza,2013,4169506
"Yemen, Rep.",2013,25533217
Zambia,2013,15246086
Zimbabwe,2013,14898092
